Weight 1,Weight 2,,Height 1,Height 2,MUAC1,MUAC2,Weight 1,Weight 2,,Height 1,Height 2,MUAC1,MUAC2,Weight 1,Weight 2,Height 1,Height 2,MUAC1,MUAC2,Weight 1,Weight 2,Height 1,Height 2,MUAC1,MUAC2,Weight 1,Weight 2,Height 1,Height 2,MUAC1,MUAC2,Weight 1,Weight 2,Height 1,Height 2,MUAC1,MUAC2,Weight 1,Weight 2,Height 1,Height 2,MUAC1,MUAC2,Weight 1,Weight 2,Height 1,Height 2,MUAC1,MUAC2,Weight 1,Weight 2,Height 1,Height 2,MUAC1,MUAC2,Weight 1,Weight 2,Height 1,Height 2,MUAC1,MUAC2,Weight 1,Weight 2,Height 1,Height 2,MUAC1,MUAC2,Weight 1,Weight 2,Height 1,Height 2,MUAC1,MUAC2,Weight 1,Weight 2,Height 1,Height 2,MUAC1,MUAC2,Weight 1,Weight 2,Height 1,Height 2,MUAC1,MUAC2,Weight 1,Weight 2,Height 1,Height 2,MUAC1,MUAC2,Weight 1,Weight 2,Height 1,Height 2,MUAC1,MUAC2,Weight 1,Weight 2,Height 1,Height 2,MUAC1,MUAC2,Weight 1,Weight 2,Height 1,Height 2,MUAC1,MUAC2,Weight 1,Weight 2,Height 1,Height 2,MUAC1,MUAC2,Weight 1,Weight 2,Height 1,Height 2,MUAC1,MUAC2,Weight 1,Weight 2,Height 1,Height 2,MUAC1,MUAC2
15.9,16,0.1,102,102.3,170,170,16.1,15.9,-0.2,101.3,101.8,167,163,16,15.9,101.5,101.1,164,164,16,15.8,101.6,102.5,171,174,16.1,15.9,100.2,102.2,162,170,15.9,15.8,100.2,101.2,173,172,15.9,15.9,101.4,101.5,167,173,16,15.9,102.1,101.6,165,160,16,15.9,102.1,102.3,170,169,16,15.9,102.2,102.4,162,162,15.9,15,102,102,169,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.2,14.3,0.1,94.8,94.3,160,158,14.1,14.2,0.1,94.4,94.3,152,154,14.2,14.2,94.6,93.6,145,143,14.3,14.2,94.2,94.3,153,155,14.3,13.9,94.3,94.8,157,150,14.4,14.2,92.5,94.1,156,157,14.4,14.4,93.2,93.1,156,151,14.2,14.1,93.7,94.2,148,155,14.3,14.2,94.4,94.3,150,152,14.2,14.2,93.9,93.7,154,159,14.2,14.3,94.1,93.9,154,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.7,16.7,0,97.2,97.2,184,173,16.7,16.1,-0.6,96.5,96.8,172,176,16.3,16.6,97.3,95.9,181,174,16.6,16.6,97.1,97.1,179,184,16.7,16.2,96.6,97.1,180,180,16.7,16.7,96.1,95.1,172,177,16.6,16.3,96.6,96.5,171,167,16.3,16.7,96.7,96.9,173,167,17,16.6,97.4,97,176,173,16.4,16.6,97.1,97.1,166,166,16.7,16.2,96.5,97.1,175,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.1,14.2,0.1,93.1,93.2,174,164,13.7,13.4,-0.3,92.4,93,154,154,14.1,14,93.2,92.8,157,151,14.2,14.1,92.6,93.1,155,154,14.2,14.1,92.4,93.1,151,157,14.1,14.1,92.2,92.8,155,155,14.3,14.2,92.2,91.7,152,155,14.2,14.3,92.5,93,159,151,14.2,14.2,93.1,92.5,151,159,14.2,14.2,92.9,92.6,148,148,14.2,14.1,93,93,155,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.8,14.6,-0.2,99.6,99.1,155,160,14,14.6,0.6,99.3,99.4,146,154,14.5,14.6,100.1,99.3,153,149,14.5,14.5,100,100,147,15,14.5,14.5,99.3,99.3,148,153,14.5,14.6,99,99.2,152,150,14.5,14.6,99.3,99.8,151,155,14.6,14.7,99.3,99.5,152,140,14.5,14.6,99.5,101,147,149,14.7,14.6,99.2,99.4,147,147,14.6,14.6,99.5,98.6,150,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.2,16.1,-0.1,98.9,98.3,173,170,16,15.8,-0.2,98.1,19.2,168,169,15.9,16.2,97.8,98.2,164,163,16,16.1,98.9,98.6,172,170,16,15.9,98.4,98.4,168,167,10,16.2,97.9,97.2,169,167,16.1,16.2,98.4,97.7,168,175,16.1,16.1,98.6,98,169,164,16.2,16.1,98.8,98.4,170,165,16.1,16.1,98.6,98.5,162,162,16.1,16.1,97.5,97.8,170,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.5,10.5,0,83.5,83.5,145,145,10.9,10.1,-0.8,83.9,14.1,140,140,10.4,10.5,83.7,134,134,141,10.5,10.5,83.5,84.1,137,146,10.5,10.5,83.3,83.3,134,141,10.5,10.4,83.3,83.3,140,143,10.5,10.5,83.9,83.9,134,134,10.7,10.7,83.4,83.4,139,139,10.3,10.5,84.5,84.5,141,141,10.5,10.5,94,94.1,111,112,10.5,10.5,84.5,84.5,141,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.5,16.4,-0.1,98,98,170,171,16.3,15.5,-0.8,98,97.8,168,169,16.3,16.2,97.6,97.2,165,165,16.3,16.3,98.1,98.2,170,170,16.4,16.1,97.4,97.8,170,171,16.3,16.3,97.2,97.6,168,173,16.8,16.3,97.2,97.1,171,176,16.3,16.4,98.5,97.7,170,175,16.4,16.3,98,98,171,172,16.4,16.3,97.8,97.2,167,176,16.4,16.3,97.5,97.5,169,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.1,14.3,0.2,95.1,92.9,163,160,14,14.1,0.1,94.4,94.4,157,161,14.1,14.2,94.5,93.8,152,150,14.1,14,94,94.2,156,153,14.1,14.1,95.5,94.2,158,164,14,14.1,93.1,93.2,160,157,14.2,14.1,92.1,92,151,153,14.3,14.3,93.5,93.7,158,186,14.2,14.2,92.2,93.9,159,158,14.1,14.2,94.7,93.6,181,181,14.2,14.2,93.5,94.4,159,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.5,13.5,0,94.7,94.2,162,160,13.2,13.5,0.3,94.4,93.9,154,154,13.4,13.6,93.9,94.2,152,152,13.5,13.5,94.8,95.2,152,154,13.4,13.5,95.3,93.7,158,155,13.5,13.4,93.5,93.7,157,196,13.6,13.6,93.6,94.1,151,152,13.7,13.7,94,93.5,156,152,13.6,13.7,94,94.4,166,156,14.1,13.7,94.5,93.6,150,150,14.5,13.7,94.7,94.6,155,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
